"","inmateid","release_date_approx","order_adm_times"
"779",91595,"2020-04-03",1
"780",120713,"2019-12-30",1
"781",149924,"2020-01-22",1
"782",161038,"2020-04-03",1
"783",10000143,"2019-11-23",1
"784",20057500,"2019-12-07",1
"785",20135130,"2020-06-04",1
"786",20152970,"2019-11-16",1
"787",20156807,"2019-12-17",1
"788",20173097,"2020-01-01",1
"789",20181122,"2019-12-23",1
"790",20188025,"2022-01-14",1
"791",20204009,"2020-01-01",1
"792",20204024,"2020-09-30",1
"793",9428,"2019-11-14",1
"794",19854,"2019-12-30",1
"795",54047,"2020-01-30",1
"796",54605,"2019-12-06",1
"797",59700,"2020-05-22",1
"798",108465,"2019-10-18",1
"799",10013760,"2019-11-26",1
"800",20165286,"2019-12-27",1
"801",7485,"2020-01-18",1
"802",66347,"2019-12-20",1
"803",75944,"2019-12-07",1
"804",20023062,"2019-11-15",1
"805",20104955,"2020-11-07",1
"806",20204077,"2020-03-24",1
"807",94844,"2019-10-12",1
"808",20075628,"2020-03-06",1
"809",20188954,"2019-12-13",1
"810",20191898,"2020-01-21",1
"811",20204095,"2019-11-13",1
"812",144364,"2019-11-14",1
"813",154736,"2020-08-19",1
"814",20125626,"2019-12-04",1
"815",20126719,"2019-11-07",1
"816",20166743,"2020-07-25",1
"817",66902,"2019-11-08",1
"818",135010,"2020-01-28",1
"819",10004420,"2020-01-13",1
"820",20149061,"2019-11-20",1
"821",20166864,"2019-11-04",1
"822",14635,"2020-05-08",1
"823",39845,"2019-12-31",1
"824",62726,"2020-07-09",1
"825",137052,"2019-11-21",1
"826",20143519,"2019-11-06",1
"827",20150253,"2019-11-14",1
"828",20167061,"2020-01-17",1
"829",20199997,"2020-01-17",1
"830",20204146,"2019-12-05",1
"831",20204162,"2019-10-10",1
"832",17916,"2020-01-02",1
"833",51905,"2019-11-02",1
"834",160914,"2020-01-08",1
"835",20076333,"2020-01-03",1
