"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"502",TRUE,5554,751,2022-09-29
"503",TRUE,4933,711,2021-09-30
"504",TRUE,5061,667,2022-04-05
"505",TRUE,4739,712,2021-04-06
"506",TRUE,5093,667,2022-04-12
"507",TRUE,4722,716,2021-04-13
"508",TRUE,5054,654,2022-04-19
"509",TRUE,4728,719,2021-04-20
"510",TRUE,5033,665,2022-04-26
"511",TRUE,4717,720,2021-04-27
"512",TRUE,5393,690,2022-08-02
"513",TRUE,5093,757,2021-08-03
"514",TRUE,5398,704,2022-08-09
"515",TRUE,5100,767,2021-08-10
"516",TRUE,5405,707,2022-08-16
"517",TRUE,5207,776,2021-08-17
"518",TRUE,5410,716,2022-08-23
"519",TRUE,5259,782,2021-08-24
"520",TRUE,5392,711,2022-08-30
"521",TRUE,5294,785,2021-08-31
"522",TRUE,5659,754,2022-12-06
"523",TRUE,4785,685,2021-12-07
"524",TRUE,5695,758,2022-12-13
"525",TRUE,4797,690,2021-12-14
"526",TRUE,5641,731,2022-12-20
"527",TRUE,4798,677,2021-12-21
"528",TRUE,5512,714,2022-12-27
"529",TRUE,4755,658,2021-12-28
"530",TRUE,4245,668,2021-02-02
"531",TRUE,4240,667,2021-02-09
"532",TRUE,5094,675,2022-02-15
"533",TRUE,4378,671,2021-02-16
"534",TRUE,5076,685,2022-02-22
"535",TRUE,4436,677,2021-02-23
"536",TRUE,4772,654,2022-01-04
"537",TRUE,3931,599,2021-01-05
"538",TRUE,4833,673,2022-01-11
"539",TRUE,4042,611,2021-01-12
"540",TRUE,4096,627,2021-01-19
"541",TRUE,4178,650,2021-01-26
"542",TRUE,5245,642,2022-07-05
"543",TRUE,5017,750,2021-07-06
"544",TRUE,5337,652,2022-07-12
"545",TRUE,5054,765,2021-07-13
"546",TRUE,5364,664,2022-07-19
"547",TRUE,5081,761,2021-07-20
"548",TRUE,5361,665,2022-07-26
"549",TRUE,5096,770,2021-07-27
"550",TRUE,4814,739,2021-06-01
"551",TRUE,5166,642,2022-06-07
"552",TRUE,4869,738,2021-06-08
"553",TRUE,5233,645,2022-06-14
"554",TRUE,4915,746,2021-06-15
"555",TRUE,5212,650,2022-06-21
"556",TRUE,4986,748,2021-06-22
"557",TRUE,5297,662,2022-06-28
"558",TRUE,5019,754,2021-06-29
"559",TRUE,5141,691,2022-03-01
"560",TRUE,4495,670,2021-03-02
"561",TRUE,5164,704,2022-03-08
"562",TRUE,4554,687,2021-03-09
"563",TRUE,5166,702,2022-03-15
"564",TRUE,4628,681,2021-03-16
"565",TRUE,5112,694,2022-03-22
"566",TRUE,4676,690,2021-03-23
"567",TRUE,5065,682,2022-03-29
"568",TRUE,4747,714,2021-03-30
"569",TRUE,5020,660,2022-05-03
"570",TRUE,4717,720,2021-05-04
"571",TRUE,5057,656,2022-05-10
"572",TRUE,4739,704,2021-05-11
"573",TRUE,5121,660,2022-05-17
"574",TRUE,4731,710,2021-05-18
"575",TRUE,5114,649,2022-05-24
"576",TRUE,4774,723,2021-05-25
"577",TRUE,5080,633,2022-05-31
"578",TRUE,5736,772,2022-11-01
"579",TRUE,4802,686,2021-11-02
"580",TRUE,5687,764,2022-11-08
"581",TRUE,4760,690,2021-11-09
"582",TRUE,5724,764,2022-11-15
"583",TRUE,4760,690,2021-11-16
"584",TRUE,5698,763,2022-11-22
"585",TRUE,4794,697,2021-11-23
"586",TRUE,5655,762,2022-11-29
"587",TRUE,4734,683,2021-11-30
"588",TRUE,5575,757,2022-10-04
"589",TRUE,4897,706,2021-10-05
"590",TRUE,5575,760,2022-10-11
"591",TRUE,4861,694,2021-10-12
"592",TRUE,5649,775,2022-10-18
"593",TRUE,4902,708,2021-10-19
"594",TRUE,5648,760,2022-10-25
"595",TRUE,4827,694,2021-10-26
"596",TRUE,5418,721,2022-09-06
"597",TRUE,5300,780,2021-09-07
"598",TRUE,5614,769,2022-09-13
"599",TRUE,5326,787,2021-09-14
"600",TRUE,5615,765,2022-09-20
"601",TRUE,5174,754,2021-09-21
"602",TRUE,5584,757,2022-09-27
"603",TRUE,4984,715,2021-09-28
"604",TRUE,5044,659,2022-04-06
"605",TRUE,4711,716,2021-04-07
"606",TRUE,5064,662,2022-04-13
"607",TRUE,4700,716,2021-04-14
"608",TRUE,5030,651,2022-04-20
"609",TRUE,4697,714,2021-04-21
"610",TRUE,5018,669,2022-04-27
"611",TRUE,4717,720,2021-04-28
"612",TRUE,5351,688,2022-08-03
"613",TRUE,5073,757,2021-08-04
"614",TRUE,5390,703,2022-08-10
"615",TRUE,5100,767,2021-08-11
"616",TRUE,5386,713,2022-08-17
"617",TRUE,5198,777,2021-08-18
"618",TRUE,5388,712,2022-08-24
"619",TRUE,5426,721,2022-08-31
