"","date_","n_per_day_age_date","n_per_day_date","age_var"
"551",2021-03-26,800,4707,"40-49"
"552",2021-03-26,1278,4707,"22-29"
"553",2021-03-26,706,4707,"all ages 50+"
"554",2021-03-26,412,4707,"21 and under"
"555",2021-03-26,1508,4707,"30-39"
"556",2020-03-27,816,3022,"22-29"
"557",2020-03-27,522,3022,"all ages 50+"
"558",2020-03-27,904,3022,"30-39"
"559",2020-03-27,538,3022,"40-49"
"560",2020-03-27,242,3022,"21 and under"
"561",2020-05-01,627,2109,"22-29"
"562",2020-05-01,270,2109,"all ages 50+"
"563",2020-05-01,346,2109,"40-49"
"564",2020-05-01,655,2109,"30-39"
"565",2020-05-01,211,2109,"21 and under"
"566",2022-05-06,1490,5018,"22-29"
"567",2022-05-06,1529,5018,"30-39"
"568",2022-05-06,470,5018,"21 and under"
"569",2022-05-06,865,5018,"40-49"
"570",2022-05-06,659,5018,"all ages 50+"
"571",2021-05-07,1491,4656,"30-39"
"572",2021-05-07,366,4656,"21 and under"
"573",2021-05-07,1281,4656,"22-29"
"574",2021-05-07,818,4656,"40-49"
"575",2021-05-07,698,4656,"all ages 50+"
"576",2020-05-08,279,2207,"all ages 50+"
"577",2020-05-08,366,2207,"40-49"
"578",2020-05-08,670,2207,"30-39"
"579",2020-05-08,221,2207,"21 and under"
"580",2020-05-08,671,2207,"22-29"
"581",2022-05-13,1501,5043,"22-29"
"582",2022-05-13,1559,5043,"30-39"
"583",2022-05-13,859,5043,"40-49"
"584",2022-05-13,472,5043,"21 and under"
"585",2022-05-13,651,5043,"all ages 50+"
"586",2021-05-14,1499,4684,"30-39"
"587",2021-05-14,375,4684,"21 and under"
"588",2021-05-14,1279,4684,"22-29"
"589",2021-05-14,825,4684,"40-49"
"590",2021-05-14,701,4684,"all ages 50+"
"591",2020-05-15,696,2224,"30-39"
"592",2020-05-15,362,2224,"40-49"
"593",2020-05-15,289,2224,"all ages 50+"
"594",2020-05-15,215,2224,"21 and under"
"595",2020-05-15,661,2224,"22-29"
"596",2022-05-20,1515,5103,"22-29"
"597",2022-05-20,1569,5103,"30-39"
"598",2022-05-20,871,5103,"40-49"
"599",2022-05-20,486,5103,"21 and under"
"600",2022-05-20,657,5103,"all ages 50+"
"601",2021-05-21,1497,4683,"30-39"
"602",2021-05-21,1271,4683,"22-29"
"603",2021-05-21,374,4683,"21 and under"
"604",2021-05-21,707,4683,"all ages 50+"
"605",2021-05-21,831,4683,"40-49"
"606",2020-05-22,678,2284,"22-29"
"607",2020-05-22,310,2284,"all ages 50+"
"608",2020-05-22,715,2284,"30-39"
"609",2020-05-22,207,2284,"21 and under"
"610",2020-05-22,373,2284,"40-49"
"611",2022-05-27,1523,5080,"22-29"
"612",2022-05-27,1571,5080,"30-39"
"613",2022-05-27,479,5080,"21 and under"
"614",2022-05-27,872,5080,"40-49"
"615",2022-05-27,633,5080,"all ages 50+"
"616",2021-05-28,831,4752,"40-49"
"617",2021-05-28,1516,4752,"30-39"
"618",2021-05-28,1283,4752,"22-29"
"619",2021-05-28,388,4752,"21 and under"
"620",2021-05-28,730,4752,"all ages 50+"
"621",2020-05-29,730,2363,"30-39"
"622",2020-05-29,393,2363,"40-49"
"623",2020-05-29,214,2363,"21 and under"
"624",2020-05-29,323,2363,"all ages 50+"
"625",2020-05-29,702,2363,"22-29"
"626",2019-11-01,326,1249,"22-29"
"627",2019-11-01,232,1249,"40-49"
